,tome,chapitre,section,id,count,gender,number,mentions,agent,patient,mod,poss,action,affect_emotion,body_parts,capability_obligation,cognition,communication,environment,existence_state,human_relations,motion,not_a_valid_character_attribute,perception,personality_traits,physical_objects,physical_traits,possession,sociological
10,TOME_I,CHAPITRE_PREMIER,I,10,"{'occurrence': 7, 'mention_ratio': 0.0201}","{'ratio': 0.42860000000000004, 'inference': {'Male': 1.0, 'Female': 0.0}, 'max': 1.0, 'argmax': 'Male'}","{'ratio': 1.0, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'mortemart', 'c': 1}, {'n': 'aux montmorency', 'c': 1}, {'n': 'morio', 'c': 1}], 'common': [{'n': 'le vicomte de', 'c': 1}, {'n': ""l' abbé"", 'c': 1}], 'pronoun': [{'n': ""l' autre"", 'c': 1}, {'n': 'il', 'c': 1}]}",[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,TOME_I,CHAPITRE_PREMIER,I,11,"{'occurrence': 7, 'mention_ratio': 0.0201}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 1.0, 'inference': {'Singular': 0.0, 'Plural': 1.0}, 'max': 1.0, 'argmax': 'Plural'}","{'proper': [], 'common': [{'n': 'de charmants enfants', 'c': 1}, {'n': 'mes enfants', 'c': 1}], 'pronoun': [{'n': 'les', 'c': 2}, {'n': 'leur', 'c': 1}, {'n': 'tous les deux', 'c': 1}, {'n': 'eux', 'c': 1}]}","[{'w': 'tourner', 'i': 1886}]","[{'w': 'accorder', 'i': 1692}, {'w': 'apprécier', 'i': 1740}]","[{'w': 'charmant', 'i': 1694}, {'w': 'tel', 'i': 1696}, {'w': 'tout', 'i': 1881}]","[{'w': 'éducation', 'i': 1878}]",0,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1
12,TOME_I,CHAPITRE_PREMIER,I,12,"{'occurrence': 6, 'mention_ratio': 0.0172}","{'ratio': 0.6667000000000001, 'inference': {'Male': 0.5, 'Female': 0.5}, 'max': 0.5, 'argmax': 'Null'}","{'ratio': 0.6667000000000001, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'lise heinenn', 'c': 1}, {'n': 'lise bolkonsky', 'c': 1}], 'common': [{'n': 'un frère', 'c': 1}], 'pronoun': [{'n': 'qui', 'c': 2}, {'n': 'le', 'c': 1}]}","[{'w': 'épouser', 'i': 2302}]","[{'w': 'avoir', 'i': 2295}, {'w': 'voir', 'i': 2318}]","[{'w': 'aide', 'i': 2310}]",[],1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
13,TOME_I,CHAPITRE_PREMIER,I,13,"{'occurrence': 5, 'mention_ratio': 0.0143}","{'ratio': 0.6000000000000001, 'inference': {'Male': 0.0, 'Female': 1.0}, 'max': 1.0, 'argmax': 'Female'}","{'ratio': 1.0, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'anna pavlovna', 'c': 1}], 'common': [], 'pronoun': [{'n': 'ses', 'c': 2}, {'n': 'elle', 'c': 1}, {'n': '-elle', 'c': 1}]}","[{'w': 'couvrir', 'i': 1383}, {'w': 'savoir', 'i': 1402}, {'w': 'dire', 'i': 1432}]",[],[],"[{'w': 'oeil', 'i': 1387}]",0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
14,TOME_I,CHAPITRE_PREMIER,I,14,"{'occurrence': 5, 'mention_ratio': 0.0143}","{'ratio': 0.2, 'inference': {'Male': 0.0, 'Female': 1.0}, 'max': 1.0, 'argmax': 'Female'}","{'ratio': 0.8, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'anna pavlovna', 'c': 1}], 'common': [], 'pronoun': [{'n': ""j'"", 'c': 1}, {'n': 'je', 'c': 1}, {'n': 'votre', 'c': 1}, {'n': 'mon', 'c': 1}]}","[{'w': 'dire', 'i': 2449}, {'w': 'causer', 'i': 2455}, {'w': 'aller', 'i': 2472}]",[],[],"[{'w': 'famille', 'i': 2480}, {'w': 'métier', 'i': 2486}]",0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
15,TOME_I,CHAPITRE_PREMIER,I,15,"{'occurrence': 4, 'mention_ratio': 0.0115}","{'ratio': 0.5, 'inference': {'Male': 0.0, 'Female': 1.0}, 'max': 1.0, 'argmax': 'Female'}","{'ratio': 1.0, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'anna pavlovna', 'c': 1}], 'common': [], 'pronoun': [{'n': 'son', 'c': 1}, {'n': 'sa', 'c': 1}, {'n': 'elle', 'c': 1}]}","[{'w': 'venir', 'i': 1535}, {'w': 'empresser', 'i': 1565}]",[],[],"[{'w': 'tact', 'i': 1522}, {'w': 'finesse', 'i': 1525}]",0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0
16,TOME_I,CHAPITRE_PREMIER,I,16,"{'occurrence': 4, 'mention_ratio': 0.0115}","{'ratio': 0.25, 'inference': {'Male': 0.0, 'Female': 1.0}, 'max': 1.0, 'argmax': 'Female'}","{'ratio': 0.25, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'mlle schérer', 'c': 1}], 'common': [], 'pronoun': [{'n': 'vous', 'c': 2}, {'n': 'votre', 'c': 1}]}","[{'w': 'dire', 'i': 1974}, {'w': 'savoir', 'i': 1991}]",[],"[{'w': 'seul', 'i': 1998}]","[{'w': 'esclave', 'i': 1987}]",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
17,TOME_I,CHAPITRE_PREMIER,I,17,"{'occurrence': 3, 'mention_ratio': 0.0086}","{'ratio': 0.33330000000000004, 'inference': {'Male': 1.0, 'Female': 0.0}, 'max': 1.0, 'argmax': 'Male'}","{'ratio': 1.0, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'anatole', 'c': 1}], 'common': [{'n': 'cet anatole', 'c': 1}], 'pronoun': [{'n': 'lui', 'c': 1}]}","[{'w': 'coûter', 'i': 2171}]",[],[],[],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,TOME_I,CHAPITRE_PREMIER,I,18,"{'occurrence': 2, 'mention_ratio': 0.0057}","{'ratio': 0.5, 'inference': {'Male': 0.0, 'Female': 1.0}, 'max': 1.0, 'argmax': 'Female'}","{'ratio': 0.5, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': ""l' impératrice marie féodorovna"", 'c': 1}], 'common': [], 'pronoun': [{'n': 'qui', 'c': 1}]}",[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,TOME_I,CHAPITRE_PREMIER,I,19,"{'occurrence': 2, 'mention_ratio': 0.0057}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 1.0, 'inference': {'Singular': 0.0, 'Plural': 1.0}, 'max': 1.0, 'argmax': 'Plural'}","{'proper': [], 'common': [{'n': 'nos grands - pères', 'c': 1}], 'pronoun': [{'n': 'leurs', 'c': 1}]}","[{'w': 'avoir', 'i': 347}]",[],[],"[{'w': 'habitude', 'i': 349}, {'w': 'pensée', 'i': 353}]",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
20,TOME_I,CHAPITRE_PREMIER,I,20,"{'occurrence': 2, 'mention_ratio': 0.0057}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 1.0, 'inference': {'Singular': 0.0, 'Plural': 1.0}, 'max': 1.0, 'argmax': 'Plural'}","{'proper': [], 'common': [], 'pronoun': [{'n': 'ils', 'c': 1}, {'n': 'leurs', 'c': 1}]}","[{'w': 'comprendre', 'i': 1034}]",[],[],"[{'w': 'promesse', 'i': 1065}]",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
21,TOME_I,CHAPITRE_PREMIER,I,21,"{'occurrence': 2, 'mention_ratio': 0.0057}","{'ratio': 0.5, 'inference': {'Male': 1.0, 'Female': 0.0}, 'max': 1.0, 'argmax': 'Male'}","{'ratio': 1.0, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'le prince basile', 'c': 1}], 'common': [], 'pronoun': [{'n': 'son', 'c': 1}]}",[],[],[],"[{'w': 'fils', 'i': 1358}]",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
